unit_id,lgu_id,campaign_id,status,is_active,valid_from,valid_until,source_authority,source_reference,basis_note,authority_review_id,authority_reviewed_at
04f19f65-5e0c-47df-b897-9dd88152ea6c,8a7b2bcd-3fd3-4ec4-aee6-bf0ecb83bf4c,,approved,true,2026-09-20,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,SRC_NH_BEIT_ULA_2025_AYYAM,بيت اولا | SRC_NH_BEIT_ULA_2025_AYYAM,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20
04f19f65-5e0c-47df-b897-9dd88152ea6c,76936253-7d3b-4e17-acb6-f1a74ceb87c5,,approved,true,2026-09-20,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,SRC_NH_HALHUL_2018,حلحول | SRC_NH_HALHUL_2018,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20
8e0238db-2e20-49d4-8cf2-db7c376d512b,f295f8a9-34ba-494e-b653-8c0521f68549,,approved,true,2026-09-20,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,SRC_HEBRON_TARQUMIYA_2022_DIRECTORATE_RESTORATION,ترقوميا | SRC_HEBRON_TARQUMIYA_2022_DIRECTORATE_RESTORATION,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20
7e391f77-ded8-4ea8-b0eb-d518507ff194,f4daa9a4-4b8f-4166-8f17-a2018985752d,,approved,true,2026-09-20,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,SRC_YATTA_PLAN_2023_2026,يطا | SRC_YATTA_PLAN_2023_2026,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20
7270d37a-6eca-4fd4-8abe-0164022f9a80,bd13d5bf-b3fe-49ea-ba4e-483d7ab98e32,,approved,true,2026-09-20,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,SRC_SH_AS_SAMU_2024_MUNICIPAL_TAJWEED,السموع | SRC_SH_AS_SAMU_2024_MUNICIPAL_TAJWEED,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20
7270d37a-6eca-4fd4-8abe-0164022f9a80,c8801611-6b8c-487e-a084-c8efdc87ad88,,approved,true,2026-09-20,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,SRC_SH_DURA_HQ_2019,دورا | SRC_SH_DURA_HQ_2019,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20
04f19f65-5e0c-47df-b897-9dd88152ea6c,4d207532-6317-457d-aafb-8ca884ac70ed,,approved,true,2026-09-20,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,SRC_NH_KHARAS_2025_GOV_REPORT,خاراس | SRC_NH_KHARAS_2025_GOV_REPORT,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20
04f19f65-5e0c-47df-b897-9dd88152ea6c,3ee44241-6ec0-4679-bb87-5cd62f99742d,,approved,true,2026-09-20,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,SRC_NH_BEIT_UMMAR_2023_DIRECTORATE_ACTION,بيت امر | SRC_NH_BEIT_UMMAR_2023_DIRECTORATE_ACTION,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20
7270d37a-6eca-4fd4-8abe-0164022f9a80,9866c853-55b8-432b-8763-9d0b3a4d8550,,approved,true,2026-09-20,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,SRC_SH_DHAHIRIYA_2025_DIRECTORATE_POST,الظاهريه | SRC_SH_DHAHIRIYA_2025_DIRECTORATE_POST,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20
7270d37a-6eca-4fd4-8abe-0164022f9a80,1220a8e5-be94-4122-870a-d037fae7bfc1,,approved,true,2026-09-20,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,SRC_SH_HAJJ_WINNERS_2026,خرسا | SRC_SH_HAJJ_WINNERS_2026,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20
7270d37a-6eca-4fd4-8abe-0164022f9a80,b8bc08d2-244d-4182-b2be-ae58c415fb5a,,approved,true,2026-09-20,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,SRC_SH_HAJJ_WINNERS_2026,دير رازح | SRC_SH_HAJJ_WINNERS_2026,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20
7270d37a-6eca-4fd4-8abe-0164022f9a80,106fe2e0-58b4-4fbe-9009-4a1fb3465bfb,,approved,true,2026-09-20,,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,SRC_SH_HAJJ_WINNERS_2026,فقيقيس | SRC_SH_HAJJ_WINNERS_2026,PALWAKF_NOSOK_AUTHORIZED_ORGANIZATIONAL_REVIEW_V1,2026-09-20
